tree,param,value,logL,method
1,lifetime,1.2,-1135.4255429741866,bdmm
1,lifetime,1.4,-1012.7544227781383,bdmm
1,lifetime,1.6,-924.4570486652201,bdmm
1,lifetime,1.8,-858.9300555181296,bdmm
1,lifetime,2.0,-809.2154535384401,bdmm
1,lifetime,2.2,-770.888724762774,bdmm
1,lifetime,2.4,-741.0045656625791,bdmm
1,lifetime,2.6,-717.5288630040571,bdmm
1,lifetime,2.8,-699.0133339928552,bdmm
1,lifetime,3.0,-684.3997369451104,bdmm
1,lifetime,3.2,-672.8972580689901,bdmm
1,lifetime,3.4,-663.9031803534267,bdmm
1,lifetime,3.6,-656.9501359786484,bdmm
1,lifetime,3.8,-651.6701944645138,bdmm
1,lifetime,4.0,-647.7698862800719,bdmm
1,lifetime,4.2,-645.0124839472285,bdmm
1,lifetime,4.4,-643.2051925893743,bdmm
1,lifetime,4.6,-642.189721011371,bdmm
1,lifetime,4.8,-641.8352207142195,bdmm
1,lifetime,5.0,-642.0329117990512,bdmm
1,lifetime,5.2,-642.6919309182271,bdmm
1,lifetime,5.4,-643.7360793128651,bdmm
1,lifetime,5.6,-645.101244577012,bdmm
1,lifetime,5.8,-646.7333345371246,bdmm
1,lifetime,6.0,-648.5866060399376,bdmm
1,lifetime,6.2,-650.6223022975506,bdmm
1,lifetime,6.4,-652.8075341801448,bdmm
1,lifetime,6.6,-655.1143563917778,bdmm
1,lifetime,6.8,-657.5190007481439,bdmm
1,lifetime,7.0,-660.0012370910572,bdmm
1,lifetime,7.2,-662.543838595898,bdmm
1,lifetime,7.4,-665.1321329504085,bdmm
1,lifetime,7.6,-667.7536245161594,bdmm
1,lifetime,7.8,-670.3976754137071,bdmm
1,lifetime,8.0,-673.0552357010951,bdmm
1,lifetime,8.2,-675.7186145877906,bdmm
1,lifetime,8.4,-678.3812860477626,bdmm
1,lifetime,8.6,-681.0377233439409,bdmm
1,lifetime,8.8,-683.6832579099937,bdmm
1,lifetime,9.0,-686.3139587984053,bdmm
1,lifetime,9.2,-688.926529530246,bdmm
1,lifetime,9.4,-691.5182196982502,bdmm
