parameter,value,logL,method
lifetime,1.0,-1373.1633135976722,bdmm
lifetime,1.5,-1002.9551079180783,bdmm
lifetime,2.0,-834.0742628475609,bdmm
lifetime,2.5,-745.0600799874985,bdmm
lifetime,3.0,-695.3510841204934,bdmm
lifetime,3.5,-667.4024930987505,bdmm
lifetime,4.0,-652.3828514957041,bdmm
lifetime,4.5,-645.3866773595237,bdmm
lifetime,5.0,-643.4967896256857,bdmm
lifetime,5.5,-644.893892256551,bdmm
lifetime,6.0,-648.406135901161,bdmm
lifetime,6.5,-653.2624804391944,bdmm
lifetime,7.0,-658.9487051873789,bdmm
lifetime,7.5,-665.119136044883,bdmm
lifetime,8.0,-671.5405821630669,bdmm
lifetime,8.5,-678.0558270266208,bdmm
lifetime,9.0,-684.559424254918,bdmm
lifetime,9.5,-690.9814365742495,bdmm
lifetime,10.0,-697.2763973729607,bdmm
lifetime,10.5,-703.4157533948755,bdmm
lifetime,11.0,-709.3826530314363,bdmm
lifetime,11.5,-715.1683295113713,bdmm
lifetime,12.0,-720.7695772987097,bdmm
lifetime,12.5,-726.1869833498413,bdmm
lifetime,13.0,-731.4236831698239,bdmm
lifetime,13.5,-736.4844840438946,bdmm
lifetime,14.0,-741.3752466616877,bdmm
lifetime,14.5,-746.1024495327235,bdmm
lifetime,15.0,-750.6728832983605,bdmm
lifetime,15.5,-755.0934376953096,bdmm
lifetime,16.0,-759.3709547878459,bdmm
lifetime,16.5,-763.5121296764341,bdmm
lifetime,17.0,-767.5234452301266,bdmm
lifetime,17.5,-771.4111311701034,bdmm
lifetime,18.0,-775.1811405237358,bdmm
lifetime,18.5,-778.8391383964628,bdmm
lifetime,19.0,-782.3904993965814,bdmm
lifetime,19.5,-785.8403110517409,bdmm
lifetime,20.0,-789.1933812848108,bdmm
lifetime,1.0,-1377.5896324782298,adb_exact
lifetime,1.5,-1005.5978887206204,adb_exact
lifetime,2.0,-835.8698617056793,adb_exact
lifetime,2.5,-746.3564551583813,adb_exact
lifetime,3.0,-696.320955747988,adb_exact
lifetime,3.5,-668.1459089602026,adb_exact
lifetime,4.0,-652.963100326428,adb_exact
lifetime,4.5,-645.846187825287,adb_exact
lifetime,5.0,-643.8652177717189,adb_exact
lifetime,5.5,-645.1925942508663,adb_exact
lifetime,6.0,-648.6508179673679,adb_exact
lifetime,6.5,-653.464870678914,adb_exact
lifetime,7.0,-659.1176644579742,adb_exact
lifetime,7.5,-665.2614249429636,adb_exact
lifetime,8.0,-671.661405114018,adb_exact
lifetime,8.5,-678.1592247425149,adb_exact
lifetime,9.0,-684.6485598236848,adb_exact
lifetime,9.5,-691.0588061372476,adb_exact
lifetime,10.0,-697.3439866834337,adb_exact
lifetime,10.5,-703.4751544582442,adb_exact
lifetime,11.0,-709.4351517164641,adb_exact
lifetime,11.5,-715.21497192134,adb_exact
lifetime,12.0,-720.8112204330616,adb_exact
lifetime,12.5,-726.2243340225552,adb_exact
lifetime,13.0,-731.4573284696537,adb_exact
lifetime,13.5,-736.5149139741676,adb_exact
lifetime,14.0,-741.4028727627001,adb_exact
lifetime,14.5,-746.1276193899619,adb_exact
lifetime,15.0,-750.6958919578126,adb_exact
lifetime,15.5,-755.1145370335186,adb_exact
lifetime,16.0,-759.3903609253372,adb_exact
lifetime,16.5,-763.530028115233,adb_exact
lifetime,17.0,-767.5399967515535,adb_exact
lifetime,17.5,-771.4264754932904,adb_exact
lifetime,18.0,-775.1953989948496,adb_exact
lifetime,18.5,-778.8524176215719,adb_exact
lifetime,19.0,-782.4028928964984,adb_exact
lifetime,19.5,-785.8519012672701,adb_exact
lifetime,20.0,-789.2042404921367,adb_exact
lifetime,1.0,-1377.3619648933536,adb_approx
lifetime,1.5,-1005.4780269631805,adb_approx
lifetime,2.0,-835.7864999540867,adb_approx
lifetime,2.5,-746.2929587097914,adb_approx
lifetime,3.0,-696.2705155010356,adb_approx
lifetime,3.5,-668.1050390379831,adb_approx
lifetime,4.0,-652.9296011220522,adb_approx
lifetime,4.5,-645.818501341186,adb_approx
lifetime,5.0,-643.8421499609128,adb_approx
lifetime,5.5,-645.1732146819764,adb_approx
lifetime,6.0,-648.6343975887828,adb_approx
lifetime,6.5,-653.4508462955172,adb_approx
lifetime,7.0,-659.1055877322541,adb_approx
lifetime,7.5,-665.2509487632501,adb_approx
lifetime,8.0,-671.6522531699368,adb_approx
lifetime,8.5,-678.1511773160655,adb_approx
lifetime,9.0,-684.6414374477213,adb_approx
lifetime,9.5,-691.0524693486345,adb_approx
lifetime,10.0,-697.3383186361713,adb_approx
lifetime,10.5,-703.4700651954638,adb_approx
lifetime,11.0,-709.4305566082769,adb_approx
lifetime,11.5,-715.2108051997243,adb_approx
lifetime,12.0,-720.8074318021698,adb_approx
lifetime,12.5,-726.2208729910899,adb_approx
lifetime,13.0,-731.4541590539884,adb_approx
lifetime,13.5,-736.5120009335203,adb_approx
lifetime,14.0,-741.4001850708846,adb_approx
lifetime,14.5,-746.1251351503665,adb_approx
lifetime,15.0,-750.6935933367025,adb_approx
lifetime,15.5,-755.112405203614,adb_approx
lifetime,16.0,-759.3883804749021,adb_approx
lifetime,16.5,-763.5281751061317,adb_approx
lifetime,17.0,-767.5382647201297,adb_approx
lifetime,17.5,-771.4248517785174,adb_approx
lifetime,18.0,-775.1938824222619,adb_approx
lifetime,18.5,-778.8509907709035,adb_approx
lifetime,19.0,-782.4015489098726,adb_approx
lifetime,19.5,-785.8506310234516,adb_approx
lifetime,20.0,-789.2030418833128,adb_approx
deathprob,0.00,-649.674069063204,bdmm
deathprob,0.02,-647.4318051221958,bdmm
deathprob,0.04,-645.6674703601653,bdmm
deathprob,0.06,-644.4063379028023,bdmm
deathprob,0.08,-643.6741394423075,bdmm
deathprob,0.10,-643.4967896256857,bdmm
deathprob,0.12,-643.9000454327445,bdmm
deathprob,0.14,-644.9090998887813,bdmm
deathprob,0.16,-646.5481138798505,bdmm
deathprob,0.18,-648.8396953488516,bdmm
deathprob,0.20,-651.8043413544403,bdmm
deathprob,0.22,-655.4598645952423,bdmm
deathprob,0.24,-659.8208308598,bdmm
deathprob,0.26,-664.8980360513923,bdmm
deathprob,0.28,-670.6980498342002,bdmm
deathprob,0.30,-677.222847626025,bdmm
deathprob,0.32,-684.469545958706,bdmm
deathprob,0.34,-692.4302531519463,bdmm
deathprob,0.36,-701.0920538551538,bdmm
deathprob,0.38,-710.4371646374602,bdmm
deathprob,0.40,-720.443320556803,bdmm
deathprob,0.42,-731.084459241074,bdmm
deathprob,0.44,-742.3317370732001,bdmm
deathprob,0.46,-754.1548386012303,bdmm
deathprob,0.48,-766.5234552721793,bdmm
deathprob,0.00,-650.0807469966933,adb_exact
deathprob,0.02,-647.8317035136142,adb_exact
deathprob,0.04,-646.0601558960097,adb_exact
deathprob,0.06,-644.7913736758236,adb_exact
deathprob,0.08,-644.0510880311002,adb_exact
deathprob,0.10,-643.8652177717189,adb_exact
deathprob,0.12,-644.2595282686152,adb_exact
deathprob,0.14,-645.2592275959706,adb_exact
deathprob,0.16,-646.8884979638298,adb_exact
deathprob,0.18,-649.1699772708165,adb_exact
deathprob,0.20,-652.124200509276,adb_exact
deathprob,0.22,-655.7690261161824,adb_exact
deathprob,0.24,-660.1190737563684,adb_exact
deathprob,0.26,-665.1852006763279,adb_exact
deathprob,0.28,-670.9740432727244,adb_exact
deathprob,0.30,-677.4876496382415,adb_exact
deathprob,0.32,-684.7232129088425,adb_exact
deathprob,0.34,-692.6729216945098,adb_exact
deathprob,0.36,-701.323945540022,adb_exact
deathprob,0.38,-710.6585907167741,adb_exact
deathprob,0.40,-720.6546881837586,adb_exact
deathprob,0.42,-731.286276643212,adb_exact
deathprob,0.44,-742.5246177537665,adb_exact
deathprob,0.46,-754.3395044564261,adb_exact
deathprob,0.48,-766.7007385451873,adb_exact
deathprob,0.00,-650.0587633086866,adb_approx
deathprob,0.02,-647.8093475055537,adb_approx
deathprob,0.04,-646.0375103282254,adb_approx
deathprob,0.06,-644.768517072359,adb_approx
deathprob,0.08,-644.0280958353355,adb_approx
deathprob,0.10,-643.8421499609128,adb_approx
deathprob,0.12,-644.236433961257,adb_approx
deathprob,0.14,-645.2361637228993,adb_approx
deathprob,0.16,-646.8655011587675,adb_approx
deathprob,0.18,-649.1470815249077,adb_approx
deathprob,0.20,-652.1014274283397,adb_approx
deathprob,0.22,-655.7463895043905,adb_approx
deathprob,0.24,-660.0965864565485,adb_approx
deathprob,0.26,-665.1628660963416,adb_approx
deathprob,0.28,-670.9518635918472,adb_approx
deathprob,0.30,-677.4656195802097,adb_approx
deathprob,0.32,-684.7013271994798,adb_approx
deathprob,0.34,-692.6511728098262,adb_approx
deathprob,0.36,-701.3023223306523,adb_approx
deathprob,0.38,-710.6370851276517,adb_approx
deathprob,0.40,-720.6332932244545,adb_approx
deathprob,0.42,-731.2649861898943,adb_approx
deathprob,0.44,-742.5034396141991,adb_approx
deathprob,0.46,-754.3184394206825,adb_approx
deathprob,0.48,-766.6797934831843,adb_approx
rho,0.01,-721.4412110300923,bdmm
rho,0.03,-663.841453902824,bdmm
rho,0.05,-649.1581594514222,bdmm
rho,0.07,-644.3026757016464,bdmm
rho,0.09,-643.2663302471518,bdmm
rho,0.11,-644.0435497887113,bdmm
rho,0.13,-645.7736996085824,bdmm
rho,0.15,-648.030682841525,bdmm
rho,0.17,-650.5831752548622,bdmm
rho,0.19,-653.2974061077848,bdmm
rho,0.21,-656.0925076541345,bdmm
rho,0.23,-658.9180600780335,bdmm
rho,0.25,-661.7419896482172,bdmm
rho,0.27,-664.5436815203831,bdmm
rho,0.29,-667.3098843900475,bdmm
rho,0.31,-670.0321860925592,bdmm
rho,0.33,-672.7054104072213,bdmm
rho,0.35,-675.3265731553283,bdmm
rho,0.37,-677.8941880609534,bdmm
rho,0.39,-680.4077969724251,bdmm
rho,0.41,-682.8676472032848,bdmm
rho,0.43,-685.2744672054424,bdmm
rho,0.45,-687.629309070551,bdmm
rho,0.47,-689.9334371143966,bdmm
rho,0.49,-692.1882486442344,bdmm
rho,0.51,-694.3952174501117,bdmm
rho,0.53,-696.555853493674,bdmm
rho,0.55,-698.6716742351966,bdmm
rho,0.57,-700.7441843784156,bdmm
rho,0.59,-702.774861735809,bdmm
rho,0.61,-704.7651475610108,bdmm
rho,0.63,-706.7164401492437,bdmm
rho,0.65,-708.6300908301287,bdmm
rho,0.67,-710.5074017096867,bdmm
rho,0.69,-712.3496246867358,bdmm
rho,0.71,-714.1579613917723,bdmm
rho,0.73,-715.9335637867154,bdmm
rho,0.75,-717.6775352305924,bdmm
rho,0.77,-719.3909318658247,bdmm
rho,0.79,-721.0747642167503,bdmm
rho,0.81,-722.729998919757,bdmm
rho,0.83,-724.357560525227,bdmm
rho,0.85,-725.9583333272118,bdmm
rho,0.87,-727.533163188624,bdmm
rho,0.89,-729.0828593386987,bdmm
rho,0.91,-730.6081961262632,bdmm
rho,0.93,-732.1099147174924,bdmm
rho,0.95,-733.5887247306773,bdmm
rho,0.97,-735.0453058034598,bdmm
rho,0.99,-736.4803090901496,bdmm
rho,0.01,-722.517783593249,adb_exact
rho,0.03,-664.5258426266498,adb_exact
rho,0.05,-649.6924069370045,adb_exact
rho,0.07,-644.7510324872226,adb_exact
rho,0.09,-643.6572218491813,adb_exact
rho,0.11,-644.3924484711697,adb_exact
rho,0.13,-646.0900956565309,adb_exact
rho,0.15,-648.3208753381816,adb_exact
rho,0.17,-650.8515907064699,adb_exact
rho,0.19,-653.5472898320376,adb_exact
rho,0.21,-656.3263209214499,adb_exact
rho,0.23,-659.1377206906641,adb_exact
rho,0.25,-661.9490255299646,adb_exact
rho,0.27,-664.7393335276531,adb_exact
rho,0.29,-667.4951750904204,adb_exact
rho,0.31,-670.2079713943898,adb_exact
rho,0.33,-672.8724144378123,adb_exact
rho,0.35,-675.4854162484736,adb_exact
rho,0.37,-678.0454041406865,adb_exact
rho,0.39,-680.5518515116513,adb_exact
rho,0.41,-683.0049487660992,adb_exact
rho,0.43,-685.4053769196063,adb_exact
rho,0.45,-687.7541464760275,adb_exact
rho,0.47,-690.0524889748035,adb_exact
rho,0.49,-692.3017716464955,adb_exact
rho,0.51,-694.5034436608886,adb_exact
rho,0.53,-696.6589931321032,adb_exact
rho,0.55,-698.7699179492539,adb_exact
rho,0.57,-700.8377072400231,adb_exact
rho,0.59,-702.8638233325289,adb_exact
rho,0.61,-704.849694671469,adb_exact
rho,0.63,-706.7967085837751,adb_exact
rho,0.65,-708.70620580862,adb_exact
rho,0.67,-710.5794788750915,adb_exact
rho,0.69,-712.4177721710704,adb_exact
rho,0.71,-714.2222798097296,adb_exact
rho,0.73,-715.9941468222062,adb_exact
rho,0.75,-717.7344705582357,adb_exact
rho,0.77,-719.4443016730748,adb_exact
rho,0.79,-721.1246460455777,adb_exact
rho,0.81,-722.7764651536991,adb_exact
rho,0.83,-724.4006789748641,adb_exact
rho,0.85,-725.99816861146,adb_exact
rho,0.87,-727.5697763912,adb_exact
rho,0.89,-729.1163084363822,adb_exact
rho,0.91,-730.638536058213,adb_exact
rho,0.93,-732.1371975581294,adb_exact
rho,0.95,-733.6129991948342,adb_exact
rho,0.97,-735.0666183388273,adb_exact
rho,0.99,-736.4987044421293,adb_exact
rho,0.01,-722.5025011716768,adb_approx
rho,0.03,-664.5058536684621,adb_approx
