tree,param,value,ss10_logL,ss12_logL,ss14_logL
1,lifetime,1.2,-1177.9426526305306,-1146.6179850842045,-1138.262363131511
1,lifetime,1.4,-1047.8489853207643,-1021.925590445575,-1015.0741658635235
1,lifetime,1.6,-953.9911826529238,-932.1302693191177,-926.3944639548746
1,lifetime,1.8,-884.1477599204067,-865.450524809262,-860.5738559679263
1,lifetime,2.0,-830.9932016677323,-814.8241999647086,-810.6278054541157
1,lifetime,2.2,-789.8687777794901,-775.7606210282278,-772.1142963008839
1,lifetime,2.4,-757.671964185066,-745.2707776941716,-742.0770802758216
1,lifetime,2.6,-732.258266723031,-721.289696894631,-718.4736236424706
1,lifetime,2.8,-712.1001463178485,-702.3475742683896,-699.8504277200393
1,lifetime,3.0,-696.0806061106618,-687.3701380984253,-685.1450859105596
1,lifetime,3.2,-683.3645508373583,-675.5545262599462,-673.5636854036965
1,lifetime,3.4,-673.3153340827234,-666.2890141090292,-664.501286534794
1,lifetime,3.6,-665.439343876372,-659.099111205307,-657.4886580706096
1,lifetime,3.8,-659.3478354109442,-653.611362987713,-652.156472909259
1,lifetime,4.0,-654.7307326412022,-649.5278763787369,-648.2101329705233
1,lifetime,4.2,-651.3378412156861,-646.6083740785087,-645.4120153632753
1,lifetime,4.4,-648.965307714199,-644.6571396745566,-643.5685894748722
1,lifetime,4.6,-647.4456438761148,-643.5134712230379,-642.520946379476
1,lifetime,4.8,-646.6402748680345,-643.0444892545657,-642.1377135521702
1,lifetime,5.0,-646.4338482648084,-643.1396962828204,-642.3097063607602
1,lifetime,5.2,-646.7299254387359,-643.7067909044372,-642.9456792977655
1,lifetime,5.4,-647.4474703153206,-644.6683097088327,-643.9691194756512
1,lifetime,5.6,-648.5181896344579,-645.9590586526236,-645.3156397376806
1,lifetime,5.8,-649.8843642718805,-647.5240063709202,-646.9309104951357
1,lifetime,6.0,-651.4970820474866,-649.3165932761433,-648.7689873672612
1,lifetime,6.2,-653.3148096747824,-651.2973482439238,-650.7909253898003
1,lifetime,6.4,-655.3022162533866,-653.4327494859626,-652.9636866618599
1,lifetime,6.6,-657.4292176552931,-655.6943120424941,-655.2591836625248
1,lifetime,6.8,-659.6701574376965,-658.0577778907711,-657.6535252610702
1,lifetime,7.0,-662.0031333673453,-660.5024924360522,-660.1263764126298
1,lifetime,7.2,-664.4094415845768,-663.0108526042488,-662.6604155090923
