parameter,value,logL,method,stepSizeP0
lifetime,1,-3122.28219729489,bdmm,NA
lifetime,1.5,-2001.44046332626,bdmm,NA
lifetime,2,-1451.59301024744,bdmm,NA
lifetime,2.5,-1130.91291987228,bdmm,NA
lifetime,3,-928.174050755545,bdmm,NA
lifetime,3.5,-798.610093588756,bdmm,NA
lifetime,4,-720.640197183061,bdmm,NA
lifetime,4.5,-680.8141412662,bdmm,NA
lifetime,5,-668.425472005388,bdmm,NA
lifetime,5.5,-674.514757616078,bdmm,NA
lifetime,6,-691.992369008622,bdmm,NA
lifetime,6.5,-715.666198871687,bdmm,NA
lifetime,7,-742.054316121058,bdmm,NA
lifetime,7.5,-769.025541017365,bdmm,NA
lifetime,8,-795.388840964507,bdmm,NA
lifetime,8.5,-820.544602544108,bdmm,NA
lifetime,9,-844.238935177108,bdmm,NA
lifetime,9.5,-866.409078336611,bdmm,NA
lifetime,10,-887.092040839513,bdmm,NA
lifetime,10.5,-906.372509115564,bdmm,NA
lifetime,11,-924.354077481364,bdmm,NA
lifetime,11.5,-941.144053552612,bdmm,NA
lifetime,12,-956.845971556398,bdmm,NA
lifetime,12.5,-971.556304139459,bdmm,NA
lifetime,13,-985.363337109998,bdmm,NA
lifetime,13.5,-998.347091360596,bdmm,NA
lifetime,14,-1010.57971904293,bdmm,NA
lifetime,14.5,-1022.12609511094,bdmm,NA
lifetime,15,-1033.04447194391,bdmm,NA
lifetime,15.5,-1043.38713395887,bdmm,NA
lifetime,16,-1053.20102157127,bdmm,NA
lifetime,16.5,-1062.52830983597,bdmm,NA
lifetime,17,-1071.40693563299,bdmm,NA
lifetime,17.5,-1079.87107215188,bdmm,NA
lifetime,18,-1087.95155229426,bdmm,NA
lifetime,18.5,-1095.67624423417,bdmm,NA
lifetime,19,-1103.07038318909,bdmm,NA
lifetime,19.5,-1110.15686374605,bdmm,NA
lifetime,20,-1116.95649705322,bdmm,NA
lifetime,1,NA,adb_exact,NA
lifetime,1.5,-2243.24388436161,adb_exact,NA
lifetime,2,-1652.54109975908,adb_exact,NA
lifetime,2.5,-1301.86287733318,adb_exact,NA
lifetime,3,-1074.1626866454,adb_exact,NA
lifetime,3.5,-921.318303002941,adb_exact,NA
lifetime,4,-820.661721124595,adb_exact,NA
lifetime,4.5,-759.339612909626,adb_exact,NA
lifetime,5,-727.928499898583,adb_exact,NA
lifetime,5.5,-718.339667491678,adb_exact,NA
lifetime,6,-723.663153274984,adb_exact,NA
lifetime,6.5,-738.371339744953,adb_exact,NA
lifetime,7,-758.37527406157,adb_exact,NA
lifetime,7.5,-780.887841177065,adb_exact,NA
lifetime,8,-804.15336020103,adb_exact,NA
lifetime,8.5,-827.145301133911,adb_exact,NA
lifetime,9,-849.309666202557,adb_exact,NA
lifetime,9.5,-870.380318271471,adb_exact,NA
lifetime,10,-890.258581545279,adb_exact,NA
lifetime,10.5,-908.939016992433,adb_exact,NA
lifetime,11,-926.465178314505,adb_exact,NA
lifetime,11.5,-942.903977623029,adb_exact,NA
lifetime,12,-958.331307256918,adb_exact,NA
lifetime,12.5,-972.824312101913,adb_exact,NA
lifetime,13,-986.457452982709,adb_exact,NA
lifetime,13.5,-999.300659696975,adb_exact,NA
lifetime,14,-1011.41859807716,adb_exact,NA
lifetime,14.5,-1022.87051799063,adb_exact,NA
lifetime,15,-1033.71040606439,adb_exact,NA
lifetime,15.5,-1043.9872820433,adb_exact,NA
lifetime,16,-1053.74557252917,adb_exact,NA
lifetime,16.5,-1063.02550045724,adb_exact,NA
lifetime,17,-1071.8634757318,adb_exact,NA
lifetime,17.5,-1080.29247028535,adb_exact,NA
lifetime,18,-1088.34236389252,adb_exact,NA
lifetime,18.5,-1096.04026233748,adb_exact,NA
lifetime,19,-1103.41078918495,adb_exact,NA
lifetime,19.5,-1110.47634163412,adb_exact,NA
lifetime,20,-1117.25732653304,adb_exact,NA
lifetime,1,NA,adb_approx,2^14
lifetime,1.5,-2243.08792264654,adb_approx,2^14
lifetime,2,-1652.45203011095,adb_approx,2^14
lifetime,2.5,-1301.80008454851,adb_approx,2^14
lifetime,3,-1074.10866560306,adb_approx,2^14
lifetime,3.5,-921.268702601039,adb_approx,2^14
lifetime,4,-820.615269331868,adb_approx,2^14
lifetime,4.5,-759.297661993767,adb_approx,2^14
lifetime,5,-727.892659321773,adb_approx,2^14
lifetime,5.5,-718.310516586901,adb_approx,2^14
lifetime,6,-723.640105333215,adb_approx,2^14
lifetime,6.5,-738.353213955469,adb_approx,2^14
lifetime,7,-758.360834190613,adb_approx,2^14
lifetime,7.5,-780.876072447435,adb_approx,2^14
lifetime,8,-804.143547033345,adb_approx,2^14
lifetime,8.5,-827.136970322676,adb_approx,2^14
lifetime,9,-849.302485180304,adb_approx,2^14
lifetime,9.5,-870.374073920206,adb_approx,2^14
lifetime,10,-890.25311554628,adb_approx,2^14
lifetime,10.5,-908.934211829431,adb_approx,2^14
lifetime,11,-926.46093853652,adb_approx,2^14
lifetime,11.5,-942.900232064066,adb_approx,2^14
lifetime,12,-958.327975714307,adb_approx,2^14
lifetime,12.5,-972.821342236155,adb_approx,2^14
lifetime,13,-986.454792145078,adb_approx,2^14
lifetime,13.5,-999.298260450563,adb_approx,2^14
lifetime,14,-1011.41642822503,adb_approx,2^14
lifetime,14.5,-1022.8685434291,adb_approx,2^14
lifetime,15,-1033.70859843606,adb_approx,2^14
lifetime,15.5,-1043.98562606657,adb_approx,2^14
lifetime,16,-1053.74404774039,adb_approx,2^14
lifetime,16.5,-1063.02408781568,adb_approx,2^14
lifetime,17,-1071.8621655464,adb_approx,2^14
lifetime,17.5,-1080.29124746267,adb_approx,2^14
lifetime,18,-1088.34122438432,adb_approx,2^14
lifetime,18.5,-1096.03918972254,adb_approx,2^14
lifetime,19,-1103.40977888357,adb_approx,2^14
lifetime,19.5,-1110.47539316355,adb_approx,2^14
lifetime,20,-1117.25643532563,adb_approx,2^14
lifetime,1.0,NaN,adb_approx,2^16
lifetime,1.5,-2092.792946587226,adb_approx,2^16
lifetime,2.0,-1522.998576175251,adb_approx,2^16
lifetime,2.5,-1188.910368284078,adb_approx,2^16
lifetime,3.0,-975.7995862851773,adb_approx,2^16
lifetime,3.5,-837.227122059939,adb_approx,2^16
lifetime,4.0,-751.0478261730997,adb_approx,2^16
lifetime,4.5,-703.9144614282123,adb_approx,2^16
lifetime,5.0,-685.4094808391304,adb_approx,2^16
lifetime,5.5,-686.6917432543746,adb_approx,2^16
lifetime,6.0,-700.592184401424,adb_approx,2^16
lifetime,6.5,-721.7183475666775,adb_approx,2^16
lifetime,7.0,-746.3441468364348,adb_approx,2^16
lifetime,7.5,-772.1121947068552,adb_approx,2^16
lifetime,8.0,-797.6536020937145,adb_approx,2^16
lifetime,8.5,-822.2422935008357,adb_approx,2^16
lifetime,9.0,-845.539154046434,adb_approx,2^16
lifetime,9.5,-867.4253646880601,adb_approx,2^16
lifetime,10.0,-887.9013478674045,adb_approx,2^16
lifetime,10.5,-907.0278808963026,adb_approx,2^16
lifetime,11.0,-924.8928380299614,adb_approx,2^16
lifetime,11.5,-941.5930425480066,adb_approx,2^16
lifetime,12.0,-957.2248613790115,adb_approx,2^16
lifetime,12.5,-971.8797918478036,adb_approx,2^16
lifetime,13.0,-985.6425466875656,adb_approx,2^16
lifetime,13.5,-998.5905466460422,adb_approx,2^16
lifetime,14.0,-1010.794018089866,adb_approx,2^16
lifetime,14.5,-1022.3163888839412,adb_approx,2^16
lifetime,15.0,-1033.2148156338199,adb_approx,2^16
lifetime,15.5,-1043.5407603896288,adb_approx,2^16
lifetime,16.0,-1053.3405136086403,adb_approx,2^16
lifetime,16.5,-1062.6557498195266,adb_approx,2^16
lifetime,17.0,-1071.5240291057971,adb_approx,2^16
lifetime,17.5,-1079.9792092967286,adb_approx,2^16
lifetime,18.0,-1088.0518922873184,adb_approx,2^16
lifetime,18.5,-1095.769740574979,adb_approx,2^16
lifetime,19.0,-1103.1578445878918,adb_approx,2^16
lifetime,19.5,-1110.23897613371,adb_approx,2^16
lifetime,20.0,-1117.0338396892344,adb_approx,2^16
lifetime,1.0,NaN,adb_approx,2^18
lifetime,1.5,-2028.387513799551,adb_approx,2^18
lifetime,2.0,-1471.937089212824,adb_approx,2^18
lifetime,2.5,-1147.0582608842922,adb_approx,2^18
lifetime,3.0,-941.1971695178792,adb_approx,2^18
lifetime,3.5,-809.0130882702938,adb_approx,2^18
lifetime,4.0,-728.7233260430747,adb_approx,2^18
lifetime,4.5,-686.8827636579675,adb_approx,2^18
lifetime,5.0,-672.8418951569956,adb_approx,2^18
lifetime,5.5,-677.6537735033735,adb_approx,2^18
lifetime,6.0,-694.1935558400206,adb_approx,2^18
lifetime,6.5,-717.2068417790679,adb_approx,2^18
lifetime,7.0,-743.1420016887059,adb_approx,2^18
lifetime,7.5,-769.8060205587822,adb_approx,2^18
lifetime,8.0,-795.960451613367,adb_approx,2^18
lifetime,8.5,-820.9725809554992,adb_approx,2^18
lifetime,9.0,-844.5664720975137,adb_approx,2^18
lifetime,9.5,-866.6649754686988,adb_approx,2^18
lifetime,10.0,-887.295763873222,adb_approx,2^18
lifetime,10.5,-906.5374531992952,adb_approx,2^18
lifetime,11.0,-924.489656563511,adb_approx,2^18
lifetime,11.5,-941.2570401682409,adb_approx,2^18
lifetime,12.0,-956.9413180690848,adb_approx,2^18
lifetime,12.5,-971.637716529586,adb_approx,2^18
lifetime,13.0,-985.4336158608778,adb_approx,2^18
lifetime,13.5,-998.4083818945438,adb_approx,2^18
