tree,deathprob,exact_logL,approx_logL
1,0.00,-688.6919209130299,-688.6919209130299
1,0.01,-688.8912175664603,-688.8912175664603
1,0.02,-689.1943717726459,-689.1943717726459
1,0.03,-689.6031737178683,-689.6031737178683
1,0.04,-690.1193912581697,-690.1193912581697
1,0.05,-690.7447648738132,-690.7447648738132
1,0.06,-691.4810023120233,-691.4810023120233
1,0.07,-692.3297729104956,-692.3297729104956
1,0.08,-693.2927015959525,-693.2927015959525
1,0.09,-694.3713625547031,-694.3713625547031
1,0.10,-695.5672725759862,-695.5672725759862
1,0.11,-696.8818840741214,-696.8818840741214
1,0.12,-698.3165778024297,-698.3165778024297
1,0.13,-699.8726552807893,-699.8726552807893
1,0.14,-701.5513309697943,-701.5513309697943
1,0.15,-703.353724237913,-703.353724237913
1,0.16,-705.2808511838494,-705.2808511838494
1,0.17,-707.3336163943469,-707.3336163943469
1,0.18,-709.512804737586,-709.512804737586
1,0.19,-711.8190733135452,-711.8190733135452
1,0.20,-714.2529437043106,-714.2529437043106
1,0.21,-716.814794688228,-716.814794688228
1,0.22,-719.5048556005495,-719.5048556005495
1,0.23,-722.323200538275,-722.323200538275
1,0.24,-725.2697436164985,-725.2697436164985
1,0.25,-728.3442354861284,-728.3442354861284
1,0.26,-731.5462613168738,-731.5462613168738
1,0.27,-734.8752404338443,-734.8752404338443
1,0.28,-738.3304277704567,-738.3304277704567
1,0.29,-741.9109172647954,-741.9109172647954
1,0.30,-745.6156472820694,-745.6156472820694
1,0.31,-749.44340809412,-749.44340809412
1,0.32,-753.3928513905314,-753.3928513905314
1,0.33,-757.4625017377773,-757.4625017377773
1,0.34,-761.6507698463334,-761.6507698463334
1,0.35,-765.9559674541368,-765.9559674541368
1,0.36,-770.3763235912209,-770.3763235912209
1,0.37,-774.9100019573068,-774.9100019573068
1,0.38,-779.5551191233217,-779.5551191233217
1,0.39,-784.3097632600584,-784.3097632600584
1,0.40,-789.1720131024368,-789.1720131024368
1,0.41,-794.1399568751062,-794.1399568751062
1,0.42,-799.2117109328251,-799.2117109328251
1,0.43,-804.3854379050495,-804.3854379050495
1,0.44,-809.6593641760295,-809.6593641760295
1,0.45,-815.0317965770631,-815.0317965770631
1,0.46,-820.50113821408,-820.50113821408
1,0.47,-826.0659033994874,-826.0659033994874
1,0.48,-831.7247317006403,-831.7247317006403
1,0.49,-837.4764011573178,-837.4764011573178
1,0.50,-843.3970054639997,-843.3827876730581
2,0.00,-685.0772648427409,-684.4979451339636
2,0.01,-685.3214360579415,-684.8284139383529
2,0.02,-685.7264119875945,-685.3094197927985
2,0.03,-686.2849994507712,-685.9349912924351
2,0.04,-686.9911801658868,-686.7001471978283
2,0.05,-687.8398718748774,-687.6006967041596
2,0.06,-688.8267523532866,-688.6330924993284
2,0.07,-689.9481268435159,-689.7943197404029
2,0.08,-691.2008264445113,-691.0818104719642
2,0.09,-692.5821289026269,-692.4933769786466
2,0.10,-694.0896959269255,-694.0271588211829
2,0.11,-695.7215228396614,-695.6815801557407
2,0.12,-697.4758975294253,-697.4553147476724
2,0.13,-699.3513664634203,-699.3472570161052
2,0.14,-701.3467060443834,-701.3564974141532
2,0.15,-703.46089806738,-703.4823013570473
2,0.16,-705.6931082897199,-705.7240906680604
2,0.17,-708.0426673917,-708.0814274460308
2,0.18,-710.5090538010979,-710.5539988983123
2,0.19,-713.0918779813564,-713.1416040387682
2,0.20,-715.790868013535,-715.8441411921692
2,0.21,-718.6058562198078,-718.6615965858042
2,0.22,-721.5367668902488,-721.594033798635
2,0.23,-724.5836050731828,-724.6415840109639
2,0.24,-727.7464464929305,-727.8044377217484
2,0.25,-731.0254287253916,-731.0828370299513
2,0.26,-734.4207436956892,-734.4770692963896
2,0.27,-737.9326315990735,-737.9874622344673
2,0.28,-741.5613763692113,-741.614379851003
2,0.29,-745.3073027045127,-745.3582205227237
2,0.30,-749.1707746882752,-749.2194160454205
2,0.31,-753.1521959899994,-753.1984316052606
2,0.32,-757.2520115891239,-757.2957687504667
2,0.33,-761.4707109389279,-761.5119680572295
2,0.34,-765.8088324527265,-765.8476138500208
2,0.35,-770.2669691993619,-770.3033401448854
2,0.36,-774.8457756488287,-774.8798371987475
2,0.37,-779.545975346926,-779.5778594111895
2,0.38,-784.3683693831239,-784.3982338793588
2,0.39,-789.3138455392193,-789.3418696083611
2,0.40,-794.3833880407974,-794.4097675078331
2,0.41,-799.578087732436,-799.6030308084437
2,0.42,-804.8991529235925,-804.9228760694227
2,0.43,-810.3479205172218,-810.3706446974093
2,0.44,-815.9258679068306,-815.9478151561345
2,0.45,-821.6346269061002,-821.656017256321
2,0.46,-827.4760206008585,-827.4970694368045
2,0.47,-833.4536233694613,-833.4745409842436
2,0.48,-839.5645782095417,-839.5855599176219
2,0.49,-845.8163553455914,-845.8375921399994
2,0.50,-852.2098328301139,-852.2315017997186
3,0.00,-593.4394860041131,-590.4406478137962
3,0.01,-593.0599256666948,-590.8004238876729
3,0.02,-593.1477305276368,-591.3924335506541
3,0.03,-593.5655304935526,-592.1836445874119
3,0.04,-594.2445772547252,-593.151563274821
3,0.05,-595.14357145716,-594.2798708732557
3,0.06,-596.2349249552599,-595.5562130686963
3,0.07,-597.4989120053904,-596.9709494805211
3,0.08,-598.920758601025,-598.516388277423
3,0.09,-600.4890271567551,-600.1862892418576
3,0.10,-602.1946451655419,-601.9755259975968
3,0.11,-604.030284173977,-603.8798478473523
3,0.12,-605.9899431283769,-605.8957067212705
3,0.13,-608.0686577761554,-608.0201282358503
3,0.14,-610.2622914214369,-610.2506135472897
3,0.15,-612.5673801958907,-612.5850632641076
3,0.16,-614.9810160397303,-615.0217175244333
3,0.17,-617.5007564961471,-617.5591081666546
3,0.18,-620.124554045558,-620.196020129297
3,0.19,-622.8507000082029,-622.9314600381945
3,0.20,-625.6777795531432,-625.7646305135955
3,0.21,-628.604635369215,-628.6949091405163
3,0.22,-631.630338255398,-631.7218313441198
3,0.23,-634.7541633805291,-634.8450766303328
3,0.24,-637.9755713103767,-638.064457810255
3,0.25,-641.2941931444013,-641.379912937561
3,0.26,-644.7098192711082,-644.7914997590067
3,0.27,-648.2223913574173,-648.2993925152496
3,0.28,-651.8319972472394,-651.903880937877
3,0.29,-655.5388684688586,-655.6053712749506
3,0.30,-659.3433800507916,-659.4043891488458
3,0.31,-663.2460523322804,-663.3015840149101
3,0.32,-667.2475544380632,-667.2977349562655
3,0.33,-671.3487090766919,-671.3937575267876
3,0.34,-675.5504983245247,-675.5907113470707
3,0.35,-679.8540700777237,-679.8898081704524
3,0.36,-684.2607448930108,-684.2924201683052
3,0.37,-688.7720229924574,-688.8000882333099
3,0.38,-693.3895912738623,-693.4145301616738
3,0.39,-698.1153302407233,-698.1376486444447
3,0.40,-702.9513208386581,-702.9715390682784
3,0.41,-707.8998512537323,-707.9184971924286
3,0.42,-712.9634237943021,-712.9810268327057
3,0.43,-718.1447621340855,-718.1618478330923
3,0.44,-723.446821003798,-723.4639063905278
3,0.45,-728.8728271879068,-728.8904176962209
3,0.46,-734.4267016846517,-734.4453341212114
3,0.47,-740.116913090596,-740.137922687106
3,0.48,-745.9131447124557,-745.9363569864345
3,0.49,-751.8882847255558,-751.9125819343589
3,0.50,-757.9906878901538,-758.0177148524526
4,0.00,-725.3584645905655,-725.3584645905655
4,0.01,-724.0550109665558,-724.0550109665558
4,0.02,-722.8662565069244,-722.8662565069244
4,0.03,-721.7954031219917,-721.7954031219917
4,0.04,-720.8456798152228,-720.8456798152228
4,0.05,-720.0203358974118,-720.0203358974118
4,0.06,-719.3226335891917,-719.3226335891917
4,0.07,-718.7558399940997,-718.7558399940997
4,0.08,-718.3232184242438,-718.3232184242438
4,0.09,-718.0280190602954,-718.0280190602954
4,0.10,-717.8734689272743,-717.8734689272743
4,0.11,-717.8627611677161,-717.8627611677161
4,0.12,-717.9990435947552,-717.9990435947552
4,0.13,-718.2854065100362,-718.2854065100362
4,0.14,-718.7248697759421,-718.7248697759421
4,0.15,-719.3203691392941,-719.3203691392941
4,0.16,-720.0747418154922,-720.0747418154922
4,0.17,-720.9907113590837,-720.9907113590837
4,0.18,-722.0708718700209,-722.0708718700209
4,0.19,-723.3176716152636,-723.3176716152636
4,0.20,-724.7333961833782,-724.7333961833782
4,0.21,-726.320151335327,-726.320151335327
4,0.22,-728.0798457667536,-728.0798457667536
4,0.23,-730.0141740537646,-730.0141740537646
4,0.24,-732.1246001120268,-732.1246001120268
4,0.25,-734.4123415530061,-734.4123415530061
4,0.26,-736.8783553647436,-736.8783553647436
4,0.27,-739.5233253696049,-739.5233253696049
4,0.28,-742.3476519088358,-742.3476519088358
4,0.29,-745.351444164234,-745.351444164234
4,0.30,-748.5345154429629,-748.5345154429629
4,0.31,-751.8963816181849,-751.8963816181849
4,0.32,-755.4362627379692,-755.4362627379692
4,0.33,-759.1530875998739,-759.1530875998739
4,0.34,-763.0455008637043,-763.0455008637043
4,0.35,-767.1118720798406,-767.1118720798406
4,0.36,-771.3503058975488,-771.3503058975488
4,0.37,-775.758652744246,-775.758652744246
4,0.38,-780.3345194800281,-780.3345194800281
4,0.39,-785.0752799472192,-785.0752799472192
4,0.40,-789.9780859126095,-789.9780859126095
4,0.41,-795.0398795322415,-795.0398795322415
4,0.42,-800.2574089874195,-800.2574089874195
4,0.43,-805.627249159056,-805.627249159056
4,0.44,-811.1458289846718,-811.1458289846718
4,0.45,-816.8094664506679,-816.8094664506679
