tree_id	rho	n_full	n_sampled	tree_full	tree_sampled
s1_c1	0.56	16	9	(((((216_1:8,216_2:8):38,(216_3:4,216_4:4):42):42,((216_5:1,216_6:1):41,216_7:43):46):46,((216_8:22,216_9:22):51,216_10:74):62):50,(((216_11:17,216_12:17):60,(216_13:31,216_14:31):46):51,((216_15:29,216_16:29):50,144_8:8):49):57);	((((1_2012212021:8,2_2112212021:8):38,(3_2112212021:4,4_2112212021:4):42):42,(5_0012212221:1,6_0012012221:1):87):46,((8_2120010021:22,9_2120010021:22):51,10_0112212221:74):62);
s1_c2	1	4	4	((144_1:50,144_2:50):53,(((216_1:29,216_2:29):51,(216_3:29,216_4:29):51):50,(144_5:9,144_6:9):50):43);	((1_2012210001:29,2_2012210001:29):51,(3_2212210001:29,4_2112210001:29):51);
s10_c1	1	12	12	((((216_1:35,216_2:35):47,(216_3:30,216_4:30):52):58,(205_5:57,205_6:57):73):49,(((216_5:23,216_6:23):57,(216_7:22,216_8:22):58):65,((216_9:22,216_10:22):55,(216_11:17,216_12:17):60):68):44);	(((1_1112212001:35,2_1112212001:35):47,(3_1112212001:30,4_1112212001:30):52):107,(((5_1102000001:23,6_2100012001:23):57,(7_1111111021:22,8_1111111021:22):58):65,((9_1111111121:22,10_1111111121:22):55,(11_1111111121:17,12_1111111121:17):60):68):44);
s10_c2	0.95	20	19	(((((216_1:5,216_2:5):47,(216_3:10,216_4:10):42):53,((216_5:5,216_6:5):52,(216_7:14,216_8:14):43):48):45,((216_9:41,216_10:41):54,(216_11:41,216_12:41):54):56):41,(((216_13:27,216_14:27):62,(216_15:29,216_16:29):60):62,((216_17:40,216_18:40):55,(216_19:40,216_20:40):55):56):41);	(((((1_1111211121:5,2_1111211121:5):47,(3_1112111121:10,4_1112111021:10):42):53,((5_0110212021:5,6_0110212021:5):52,(7_0110212111:14,8_0110212101:14):43):48):45,((9_1111111111:41,10_1111111111:41):54,(11_1111111121:41,12_1111111121:41):54):56):41,(((13_1111211021:27,14_1111211121:27):62,15_1111011001:89):62,((17_2110212011:40,18_2110111011:40):55,(19_1110011221:40,20_1120211221:40):55):56):41);
s10_c3	0.83	24	20	(((((216_1:18,216_2:18):44,(216_3:19,216_4:19):43):66,((216_6:7,216_5:7):50,(216_7:4,216_8:4):53):71):50,(((216_9:26,216_10:26):52,(216_11:25,216_12:25):53):58,((216_13:30,216_14:30):48,(216_15:28,216_16:28):50):58):42):33,((((216_17:33,216_18:33):41,(216_19:29,216_20:29):45):48,((216_21:6,216_22:6):68,(216_23:23,216_24:23):51):48):54,((214_25:40,212_26:38):89,187_18:103):46):35);	(((((1_2112211021:18,2_2112211021:18):44,(3_2112211021:19,4_2112211021:19):43):66,((5_2112211021:7,6_2112211021:7):50,(7_2112211021:4,8_2112211021:4):53):71):50,(12_1111111111:136,((13_2110211111:30,14_2110211111:30):48,(15_2111211121:28,16_2111211121:28):50):58):42):33,(((17_0011011221:33,18_1111011221:33):41,(19_1112011221:29,20_1112011221:29):45):48,((21_1110111121:6,22_2100211221:6):68,23_2112210021:74):48):89);
s10_c4	1	10	10	(((216_1:39,216_2:39):49,(216_3:44,216_4:44):44):68,(((216_5:4,216_6:4):37,(216_7:4,216_8:4):37):48,(216_9:39,216_10:39):51):66);	(((1_2120211221:39,2_2120212221:39):49,(3_2110100021:44,4_2110100021:44):44):68,(((5_1110112221:4,6_1110112221:4):37,(7_1110111221:4,8_1110111221:4):37):48,(9_0111111221:39,10_1111111221:39):51):66);
s10_c5	0.43	23	10	(((((216_1:8,216_2:8):42,(216_3:10,216_4:10):40):43,((216_5:15,216_6:15):36,(216_7:14,216_8:14):37):42):59,(((216_9:3,216_10:3):44,(216_11:2,216_12:2):45):48,(216_13:42,216_14:42):54):57):59,((((216_15:15,216_16:15):46,(216_17:3,216_18:3):58):47,144_6:38):53,(((216_19:8,216_20:8):50,216_21:59):48,(216_22:59,216_23:59):48):55):50);	(((1_2102111221:8,2_2102111221:8):42,(3_2102010221:10,4_2102010221:10):40):102,(((9_1112011121:3,10_1112011121:3):44,(11_1112010021:2,12_1112011021:2):45):48,(13_0210012201:42,14_0210012201:42):54):57);
s11_c1	1	6	6	((166_1:71,(216_1:61,216_2:61):59):65,((216_3:50,216_4:50):69,(216_5:48,216_6:48):71):66);	((1_2202210001:61,2_2202000001:61):124,((3_2221012200:50,4_2221012221:50):69,(5_2100000012:48,6_2020000001:48):71):66);
s12_c1	1	8	8	(((216_1:32,216_2:32):54,(216_3:33,216_4:33):53):49,((216_5:44,216_6:44):42,(216_7:46,216_8:46):40):49);	(((1_0101001001:32,2_2101101000:32):54,(3_2100101000:33,4_2100101000:33):53):49,((5_1101201221:44,6_2101001000:44):42,(7_1111001001:46,8_1111001021:46):40):49);
s12_c2	1	4	4	((144_1:53,((216_1:15,216_2:15):52,(216_3:22,216_4:22):45):56):56,(132_3:41,133_3:42):56);	((1_2102111000:15,2_2100111000:15):52,(3_2100101000:22,4_2100001000:22):45);
s12_c3	1	4	4	(((167_1:32,(205_1:1,205_2:1):68):56,(139_3:11,139_4:11):49):51,(((216_1:31,216_2:31):48,(216_3:30,216_4:30):49):60,144_5:69):48);	((1_2100111000:31,2_2100101000:31):48,(3_2100101000:30,4_2100101000:30):49);
