tree,deathprob,exact_logL,approx_logL
1,0.00,-56052.91241198017,-55840.653563516884
1,0.02,-55746.0367790524,-55594.837154678506
1,0.04,-55549.83298271003,-55436.84418350505
1,0.06,-55424.805459923475,-55339.412282374215
1,0.08,-55356.4714209806,-55291.963241939564
1,0.10,-55336.94957769093,-55288.59092006915
1,0.12,-55361.33441442216,-55325.57863527311
1,0.14,-55426.35846897051,-55400.45201694785
1,0.16,-55529.76527830006,-55511.52248163207
1,0.18,-55669.970963808606,-55657.63457436205
1,0.20,-55845.86312113279,-55838.012274057095
1,0.22,-56056.67224217499,-56052.15830020725
1,0.24,-56301.88441409895,-56299.78396075304
1,0.26,-56581.178804310184,-56580.75762067876
1,0.28,-56894.380712294456,-56895.064969775056
1,0.30,-57241.424864785426,-57242.77718960123
2,0.00,-56183.13673659891,-55964.27513893403
2,0.02,-55846.93493669809,-55694.22236025905
2,0.04,-55635.51681826075,-55521.411339714454
2,0.06,-55498.76154796423,-55412.24932260139
2,0.08,-55420.520851037625,-55354.84005443819
2,0.10,-55392.2567876314,-55342.69835426267
2,0.12,-55408.73234022771,-55371.79351388809
2,0.14,-55466.49204482215,-55439.4623581689
2,0.16,-55563.16705957337,-55543.895076991204
2,0.18,-55697.1051336371,-55683.85697485902
2,0.20,-55867.1528361826,-55858.519970208676
2,0.22,-56072.51735402082,-56067.353680262866
2,0.24,-56312.673462588966,-56310.050202253624
2,0.26,-56587.29757429978,-56586.46938795733
2,0.28,-56896.21867063223,-56896.596988779194
2,0.30,-57239.380031325345,-57240.511019317804
3,0.00,-56114.81779711948,-55905.23241301722
3,0.02,-55784.625235788124,-55639.314282253436
3,0.04,-55587.508138580924,-55479.1472775537
3,0.06,-55464.415881872585,-55382.371435347915
3,0.08,-55398.58997891197,-55336.373917390825
3,0.10,-55381.413306808514,-55334.526987504476
3,0.12,-55407.67250842447,-55372.773783795245
3,0.14,-55473.95526568948,-55448.4598327235
3,0.16,-55577.93459764324,-55559.79327552969
3,0.18,-55717.995043240764,-55705.558429697885
3,0.20,-55893.015803569775,-55884.94589508951
3,0.22,-56102.23498597002,-56097.4447793775
3,0.24,-56345.15921256601,-56342.769289874894
3,0.26,-56621.50013924691,-56620.80590232044
3,0.28,-56931.127543926734,-56931.57334368658
3,0.30,-57274.032811908524,-57275.190564024626
4,0.00,-56184.470723203936,-55952.61280691615
4,0.02,-55836.04096926695,-55679.17704116069
4,0.04,-55625.0904127196,-55507.949252709586
4,0.06,-55490.48480110199,-55401.41965966761
4,0.08,-55414.85015947438,-55346.90962514186
4,0.10,-55389.26865029227,-55337.67689988533
4,0.12,-55408.349785857754,-55369.57910144338
4,0.14,-55468.568673116766,-55439.90097132807
4,0.16,-55567.52458203272,-55546.80603963582
4,0.18,-55703.55295783638,-55689.047753847524
4,0.20,-55875.49953858349,-55865.79490446391
4,0.22,-56082.5781034957,-56076.5201461796
4,0.24,-56324.27505197063,-56320.92344672472
4,0.26,-56600.28193997919,-56598.876362256524
4,0.28,-56910.445449005856,-56910.379657835074
4,0.30,-57254.72871706044,-57255.52953326015
5,0.00,-56118.9610649485,-55920.834888865415
5,0.02,-55790.199824264564,-55652.8617688206
5,0.04,-55586.42524367532,-55483.912745463786
5,0.06,-55456.950315817674,-55379.26172168141
5,0.08,-55385.46315516945,-55326.49605061279
5,0.10,-55363.40621088761,-55318.924073344024
5,0.12,-55385.560972104846,-55352.41867783961
5,0.14,-55448.50177210688,-55424.26869760407
5,0.16,-55549.89304164134,-55532.642048789436
5,0.18,-55688.11773460459,-55676.296380802356
5,0.20,-55862.05949760615,-55854.40614057771
5,0.22,-56070.964684831095,-56066.45111937556
5,0.24,-56314.3492059395,-56312.13979765593
5,0.26,-56591.93207316923,-56591.35352671168
5,0.28,-56903.58557726382,-56904.10361866582
5,0.30,-57249.29623736624,-57250.49674819704
6,0.00,-56121.69865161727,-55922.09751316841
6,0.02,-55795.292266235316,-55655.339747993596
6,0.04,-55591.63602753148,-55487.14011072394
6,0.06,-55462.13522840979,-55383.05129510288
6,0.08,-55390.5526876491,-55330.65938980337
6,0.10,-55368.35503995893,-55323.304772524134
6,0.12,-55390.33402093195,-55356.88766192763
6,0.14,-55453.06613436746,-55428.71594047647
6,0.16,-55554.21233641704,-55536.96922799028
6,0.18,-55692.14798975582,-55680.411095790034
6,0.20,-55865.74633461087,-55858.217574134316
